,0
1488,1005
1489,1825
1490,1330
1491,413136
1492,367058
1493,980
1494,281629
1495,753
1496,4685
1497,320207
1498,250469
1499,921
1500,919
1501,922
1502,2063
1503,357608
1504,282284
1505,357431
1506,191416
1507,309433
1508,341799
1509,406058
1510,438589
1511,407622
1512,398252
1513,327977
1514,401295
1515,241559
1516,2131
1517,197496
1518,258819
1519,366583
1520,4686
1521,439448
1522,3706
1523,258830
1524,4335
1525,169983
1526,4536
1527,401046
1528,887
1529,389631
1530,383796
1531,754
1532,2941
1533,277638
1534,288463
1535,2117
1536,1576
1537,786
1538,395009
1539,360194
1540,2312
1541,1450
1542,4124
1543,288365
1544,2641
1545,2476
1546,2126
1547,193180
1548,372720
1549,409284
1550,356594
1551,148747
1552,217467
1553,1269
1554,341785
1555,408670
1556,381327
1557,443394
1558,395299
1559,437031
1560,158076
1561,4041
1562,397845
1563,2562
1564,3507
1565,424631
1566,372337
1567,3538
1568,292579
1569,1249
1570,271957
1571,201738
1572,212352
1573,4661
1574,358254
1575,3958
1576,252297
1577,315438
1578,185219
1579,397163
1580,2578
1581,409333
1582,430342
1583,208048
1584,168719
1585,290615
1586,292348
1587,337037
1588,216766
1589,4307
1590,258656
1591,235542
1592,3656
1593,309619
1594,273848
1595,379265
1596,361941
1597,418284
1598,1116
1599,251304
1600,313086
1601,4442
1602,4000
1603,2612
1604,220275
1605,3097
1606,224132
1607,401027
1608,241845
1609,296968
1610,380906
1611,401292
1612,326172
1613,401222
1614,1734
1615,1522
1616,2779
1617,384832
1618,369491
1619,343189
1620,206606
1621,268304
1622,293777
1623,2691
1624,4149
1625,192540
1626,277212
1627,395993
1628,227037
1629,2833
1630,238115
1631,381673
1632,446494
1633,361600
1634,266541
1635,407779
1636,440503
1637,237074
1638,348975
1639,210456
1640,3658
1641,3696
1642,304436
1643,3912
1644,165896
1645,1283
1646,322259
1647,265423
1648,436629
1649,400871
1650,346770
1651,370784
1652,1804
1653,2867
1654,2385
1655,1908
1656,261876
1657,412400
1658,370630
1659,260897
1660,409520
1661,390482
1662,356488
1663,285247
1664,1300
1665,230941
1666,200186
1667,147735
1668,205153
1669,376862
1670,204628
1671,4338
1672,4712
1673,272117
1674,3136
1675,172792
1676,394066
1677,336923
1678,359780
1679,4631
1680,4633
1681,376817
1682,217368
1683,307342
1684,347778
1685,3548
1686,4265
1687,3970
1688,1277
1689,1740
1690,183368
1691,4090
1692,338573
1693,440187
1694,1280
1695,2416
1696,149130
1697,375856
1698,4051
1699,2840
1700,323445
1701,3253
1702,2583
1703,4171
1704,192617
1705,144920
1706,431855
1707,4025
1708,3664
1709,235547
1710,4694
1711,252441
1712,416188
1713,4754
1714,2660
1715,4586
1716,4630
1717,188723
1718,409517
1719,1120
1720,220185
1721,173456
1722,408292
1723,232803
1724,232913
1725,303481
1726,341986
1727,4012
1728,3206
1729,3652
1730,247715
1731,443804
1732,333238
1733,392592
1734,359364
1735,3516
1736,264786
1737,409483
1738,417160
1739,392652
1740,316184
1741,324080
1742,422921
1743,4589
1744,213360
1745,230250
1746,4619
1747,140049
1748,332627
1749,1085
1750,4499
1751,167696
1752,3863
1753,366055
1754,297709
1755,1332
1756,2777
1757,3921
1758,338013
1759,1586
1760,165168
1761,258739
1762,3544
1763,200867
1764,1957
1765,1704
1766,390945
1767,281627
1768,406607
1769,422950
1770,153927
1771,262485
1772,259380
1773,2134
1774,437599
1775,419310
1776,359956
1777,3356
1778,385727
1779,370623
1780,308938
1781,4395
1782,264699
1783,226465
1784,194078
1785,339591
1786,404323
1787,383988
1788,1123
1789,3910
1790,4592
1791,304292
1792,256076
1793,2504
1794,320607
1795,278195
1796,292863
1797,3554
1798,306975
1799,404802
1800,1582
1801,374591
1802,442978
1803,2995
1804,258824
1805,442330
1806,249051
1807,299795
1808,237650
1809,4506
1810,207886
1811,167693
1812,179797
1813,3726
1814,4439
1815,227374
1816,1124
1817,220455
1818,2772
1819,1290
1820,762
1821,1289
1822,1554
1823,235550
1824,426017
1825,217795
1826,890
1827,291052
1828,222572
1829,229797
1830,239681
1831,291092
1832,269284
1833,297827
1834,271567
1835,403125
1836,255158
1837,395188
1838,402863
1839,287527
1840,276126
1841,345324
1842,318036
1843,400130
1844,351944
1845,423953
1846,152430
1847,371991
1848,2456
1849,283808
1850,1084
1851,397397
1852,2557
1853,339090
1854,367120
1855,250991
1856,326786
1857,2313
1858,214171
1859,383826
1860,316705
1861,422663
1862,364629
1863,279793
1864,347415
1865,1066
1866,226173
1867,410196
1868,2545
1869,236450
1870,388888
1871,406158
1872,446968
1873,398960
1874,304357
1875,3671
1876,349740
1877,419161
1878,1009
1879,4587
1880,3816
1881,144922
1882,200724
1883,383819
1884,383820
1885,358305
1886,423471
1887,406325
1888,183209
1889,397062
1890,4162
1891,2297
1892,271124
1893,298301
1894,146535
1895,173096
1896,1077
1897,763
1898,3459
1899,322427
1900,293869
1901,3350
1902,316336
1903,410429
1904,2666
1905,4311
1906,1161
1907,2667
1908,4580
1909,4676
1910,1286
1911,206794
1912,289461
1913,295388
1914,286196
1915,334143
1916,3960
1917,3498
1918,1272
1919,283560
1920,260431
1921,151043
1922,2634
1923,330485
1924,1184
1925,1335
1926,1127
1927,1746
1928,367368
1929,1591
1930,303895
1931,232926
1932,368014
1933,2366
1934,2164
1935,271328
1936,320150
1937,223693
1938,351933
1939,297457
1940,440580
1941,390647
1942,210454
1943,2259
1944,336319
1945,2587
1946,178176
1947,1593
1948,1190
1949,1352
1950,3673
1951,289332
1952,333458
1953,1388
1954,946
1955,962
1956,3590
1957,764
1958,395472
1959,345553
1960,4380
1961,1189
1962,1956
1963,1191
1964,269741
1965,4654
1966,343843
1967,2943
1968,329129
1969,361718
1970,417846
1971,1353
1972,3724
1973,411237
1974,2047
1975,2665
1976,3325
1977,237575
1978,3409
1979,3720
1980,1354
1981,369139
1982,4489
1983,215886
1984,165159
1985,154070
1986,223695
1987,339061
1988,360209
1989,196697
1990,947
1991,3613
1992,303129
1993,272228
1994,2894
1995,426660
1996,279975
1997,350437
1998,337154
1999,332318
2000,337226
2001,3632
2002,430028
2003,1555
2004,334466
2005,1960
2006,197377
2007,373801
2008,3460
2009,2225
2010,359354
2011,2307
2012,179147
2013,2004
2014,4077
2015,297825
2016,1104
2017,3798
2018,3676
2019,4166
2020,3846
2021,2940
2022,428119
2023,391025
2024,1302
2025,2021
2026,203967
2027,363324
2028,2793
2029,4544
2030,2639
2031,4736
2032,299062
2033,143297
2034,4759
2035,405442
2036,279168
2037,3336
2038,1920
2039,3354
2040,3317
2041,376484
2042,2185
2043,2668
2044,2482
2045,776
2046,157092
2047,381701
2048,2670
2049,395073
2050,357089
2051,207530
2052,2877
2053,1790
2054,200994
2055,292993
2056,2649
2057,345355
2058,318817
2059,343152
2060,271571
2061,329086
2062,362125
2063,340046
2064,165821
2065,1859
2066,445631
2067,272528
2068,298220
2069,207085
2070,3669
2071,182740
2072,214116
2073,205416
2074,441710
2075,415275
2076,1847
2077,930
2078,319567
2079,2065
2080,410224
2081,147009
2082,403325
2083,937
2084,190367
2085,394452
2086,381308
2087,372125
2088,390790
2089,150576
2090,144994
2091,339734
2092,338915
2093,332698
2094,3954
2095,2087
2096,268302
2097,380768
2098,225203
2099,314934
2100,264154
2101,418355
2102,3740
2103,431233
2104,173452
2105,384537
2106,1068
2107,298023
2108,3580
2109,323791
2110,377743
2111,195199
2112,179405
2113,439446
2114,368135
2115,272651
2116,2724
2117,301243
2118,296073
2119,189424
2120,194864
2121,2102
2122,411757
2123,1702
2124,364954
2125,445925
2126,407644
2127,218802
2128,435947
2129,1566
2130,270704
2131,256643
2132,314629
2133,892
2134,3866
2135,354943
2136,328740
2137,419763
2138,1545
2139,4651
2140,140107
2141,1829
2142,1567
2143,1540
2144,407276
2145,414388
2146,1900
2147,355011
2148,199893
2149,4450
2150,369807
2151,385565
2152,332812
2153,360278
2154,153751
2155,263206
2156,395901
2157,3148
2158,260005
2159,4397
2160,445451
2161,395565
2162,1369
2163,213636
2164,395498
2165,3775
2166,423913
2167,2991
2168,2109
2169,1830
2170,253460
2171,408584
2172,2525
2173,1520
2174,1521
2175,411089
2176,210599
2177,2647
2178,283178
2179,4020
2180,4344
2181,360018
2182,347886
2183,394605
2184,2264
2185,366822
2186,428240
2187,320843
2188,4178
2189,4111
2190,145752
2191,4327
2192,3479
2193,295712
2194,4762
2195,4303
2196,3480
2197,207046
2198,1404
